Source,Target,Model,Seed,Site_ID,N_test,N_rare,RMSE_kW,MAE_kW,nRMSE,RareRMSE_kW,RMSE_persist_kW,SkillScore
DKASC,DKASC,MLP,42,ID_DKASC_1,2000,193,2.69496117462843,1.24631248895661,0.0945866405679305,4.93534856697048,2.79530895960356,0.0358986381918084
DKASC,HKUST,MLP,42,ID_Indoor Sports Centre,2000,130,0.518403886645798,0.254287434379214,0.0604623122189327,1.19840914786965,0.516986051755158,-0.00274250124510522
DKASC,HKUST,MLP,42,ID_LSK North,2000,120,0.818898091528168,0.389442937745873,0.0611674169717217,1.5114614615879,0.872108574819706,0.0610135994850622
DKASC,HKUST,MLP,42,ID_LSK South,2000,98,0.336817282769243,0.149766684927628,0.0575340030995709,0.984053513093316,0.339053524209206,0.00659554105853588
DKASC,HKUST,MLP,42,ID_Library,2000,129,1.99870247669194,0.899966607166195,0.0599262241692479,4.47965823220146,2.04746544260647,0.0238162583356998
DKASC,HKUST,MLP,42,ID_S H Ho Sports Hall,2000,95,0.48211938352597,0.249262940309139,0.0507425728012314,1.1966880760316,0.445538007256832,-0.0821060732716581
DKASC,HKUST,MLP,42,ID_SQ Apartment1-12,2000,109,0.251599306750056,0.123346939576495,0.0576798045415289,0.558191831541127,0.263189724142506,0.0440382595871194
DKASC,HKUST,MLP,42,ID_SQ Apartment13-24,2000,128,0.269294415861392,0.131712275044791,0.061992270804497,0.58791483912929,0.284932313578489,0.0548828510206503
DKASC,HKUST,MLP,42,ID_SQ Apartment25-36,2000,131,0.254506039996913,0.124240870507511,0.0585609821914174,0.610256275572851,0.267704440579515,0.0493021354222964
DKASC,HKUST,MLP,42,ID_SQ Apartment37-48,2000,132,0.160181310856411,0.0804295474541251,0.0524990111520823,0.368829943388353,0.159872640722706,-0.00193072518418536
DKASC,HKUST,MLP,42,ID_SQ Block P,2000,115,0.436680088680766,0.212733170108149,0.0571457101920357,1.08568087346405,0.453979842600408,0.038106876773533
DKASC,HKUST,MLP,42,ID_SQ Block R,2000,104,0.457210591850434,0.225237993459307,0.0577839148628272,1.19459472098718,0.477859506100116,0.0432112660438639
DKASC,HKUST,MLP,42,ID_SQ Block S,2000,137,0.392443633756995,0.199837172982885,0.0574490466950047,0.910204810741782,0.388067065033932,-0.0112778669395215
DKASC,HKUST,MLP,42,ID_SQ1,2000,128,0.422407358425292,0.198610429892355,0.0612984140258853,1.08255919730465,0.435227660431884,0.0294565423389457
DKASC,HKUST,MLP,42,ID_SQ2,2000,109,0.406797117262532,0.197946731813069,0.0593344691410931,0.996034272775964,0.41093426579361,0.0100676650147147
DKASC,HKUST,MLP,42,ID_SQ3,2000,117,0.39919776403288,0.20618123968469,0.0554175780752739,0.781269425851282,0.411795502954645,0.0305922207294043
DKASC,HKUST,MLP,42,ID_SQ4,2000,110,0.462461295078419,0.222203016241676,0.0619174325319968,1.1080185994294,0.485108090290306,0.0466840188097752
DKASC,HKUST,MLP,42,ID_SQ567,2000,115,0.550376845024913,0.273479253843974,0.0559036294710202,1.30393554345112,0.562355606727369,0.02130104431992
DKASC,HKUST,MLP,42,ID_Shaw Auditorium,2000,121,1.02442315343627,0.502558630797965,0.0620268187053042,1.75197410522243,1.05592628410535,0.0298345927583139
DKASC,HKUST,MLP,42,ID_UG Hall2 2F,2000,121,0.193906885902195,0.109459966578053,0.0476804005464322,0.398006894960296,0.164282461408686,-0.18032615435322
DKASC,HKUST,MLP,42,ID_UG Hall2 RF,2000,146,0.100118949231994,0.0527150176682623,0.04804171973,0.19517034937338,0.0952818801615828,-0.0507658860447355
DKASC,HKUST,MLP,42,ID_UG Hall3,2000,123,0.35438536549499,0.167940841076119,0.0641624139657328,0.708821759122373,0.370197460570719,0.0427125973564257
DKASC,HKUST,MLP,42,ID_UG Hall4,2000,103,0.344873897820611,0.175837861002723,0.0538162089780834,0.763510925307458,0.356855009871762,0.033574173599122
DKASC,HKUST,MLP,42,ID_UG Hall6,2000,101,0.367335256532512,0.173424588007456,0.0600024899519285,0.88163966320949,0.379267096945517,0.031460257188402
DKASC,HKUST,MLP,42,ID_UG Hall7,2000,122,0.333172981250516,0.1660247205924,0.0537210279146369,0.811236194958216,0.325702561836568,-0.0229363237790432
DKASC,HKUST,MLP,42,ID_UG Hall8,2000,124,0.29712535492402,0.150655990894053,0.056450682859711,0.627484781427727,0.30206894750611,0.0163657755055737
DKASC,HKUST,MLP,42,ID_UG Hall9,2000,110,0.347654221300965,0.163995527858091,0.0609171604659254,0.860027504535904,0.367788091875364,0.0547431279564697
DKASC,HKUST,MLP,42,ID_Wong Check She Research Centre,2000,121,1.35061956313054,0.681634239825474,0.0565924390659641,2.58921223895377,1.40718706365597,0.0401989912971975
DKASC,HKUST,MLP,42,ID_Zone A1,2000,132,0.37937582300484,0.192728562276944,0.0507491551606586,0.719421515421094,0.384689131719166,0.0138119543190148
DKASC,HKUST,MLP,42,ID_Zone A2,2000,123,2.54128467464498,1.29268898121102,0.0554457926800758,5.39359104652575,2.63950466648402,0.037211524225063
DKASC,HKUST,MLP,42,ID_Zone A4,2000,114,0.667658422812098,0.349743022452262,0.0527084891815987,1.51295161173051,0.664728134947964,-0.00440825009514989
DKASC,HKUST,MLP,42,ID_Zone A5,2000,117,0.215463253096376,0.112352012719816,0.0532930435219717,0.348824729802658,0.216976799678233,0.0069756148311817
DKASC,HKUST,MLP,42,ID_Zone A6,2000,105,0.751930959687869,0.376322519519103,0.0592678287545892,1.48092376488859,0.782194394720425,0.0386904268770332
DKASC,HKUST,MLP,42,ID_Zone A7,2000,106,0.135117209112766,0.0689603077956721,0.0509299672774792,0.275680874389351,0.137023095487629,0.0139092345569973
DKASC,HKUST,MLP,42,ID_Zone D,2000,120,1.13049287389774,0.549913944403616,0.0620656282813542,2.59764283544798,1.14910002907162,0.0161928071561498
