Model,Target,OwnClimate_nRMSE,Transferred_mean_nRMSE,Transferred_worst_nRMSE,Transfer_penalty_pct,Worst_penalty_pct
MLP,DKASC,0.0919512380334162,0.09455148938916254,0.09713202476849163,2.827858995004907,5.634276216262214
MLP,HKUST,0.05388091201593468,0.06133000725897467,0.07373689477013638,13.82510979182572,36.85160850345205
MLP,Ausgrid,0.10882115034363234,0.12682228997372655,0.13394378851104538,16.541949403448434,23.08617220832668
MLP,PVDAQ,0.06322135872392641,0.07329541431996411,0.08468722262213697,15.934576224514345,33.95349978469651
LSTM,DKASC,0.0890798635039989,0.0945518302348326,0.09717873619128896,6.142765060016134,9.091698582280044
LSTM,HKUST,0.05381688307902371,0.06276047325650345,0.07637504832224194,16.618558463051727,41.9165212710187
LSTM,Ausgrid,0.10737449550768291,0.13084564402495305,0.14196969475162363,21.8591467240847,32.21919607665617
LSTM,PVDAQ,0.06409600724581443,0.07237033884233375,0.08334745911076318,12.90927774141445,30.03533713280696
Transformer,DKASC,0.08836551191300461,0.09517816705667832,0.10006860403590405,7.709631276035312,13.243958949076278
Transformer,HKUST,0.053140680320742116,0.06328214263401881,0.07959239833075708,19.084178546578052,49.77677713262209
Transformer,Ausgrid,0.10775920582648935,0.13556576728280856,0.14537363250030677,25.80434891204795,34.90599841129402
Transformer,PVDAQ,0.06333980845136052,0.07203108773127594,0.08530101341357033,13.721669661488745,34.67204195774307
