Target,Site_ID,N_test,N_rare,RMSE_kW,MAE_kW,nRMSE,RareRMSE_kW
DKASC,ID_DKASC_1,2000,193,2.79530895960356,1.23703828604491,0.0981086059151823,4.97423352853825
HKUST,ID_Indoor Sports Centre,2000,130,0.516986051755158,0.223621012513846,0.0602969477646122,1.17808524445745
HKUST,ID_LSK North,2000,120,0.872108574819706,0.360939010631879,0.0651419625866548,1.61881274132537
HKUST,ID_LSK South,2000,98,0.339053524209206,0.123629999894146,0.0579159903921481,0.984881559527776
HKUST,ID_Library,2000,129,2.04746544260647,0.746455960150023,0.0613882628971872,4.45739527151032
HKUST,ID_S H Ho Sports Hall,2000,95,0.445538007256832,0.162034997967099,0.046892420303876,1.0629395602956
HKUST,ID_SQ Apartment1-12,2000,109,0.263189724142506,0.112810498480815,0.0603369382927574,0.579877701515904
HKUST,ID_SQ Apartment13-24,2000,128,0.284932313578489,0.119826995770747,0.0655921552914828,0.621428537430508
HKUST,ID_SQ Apartment25-36,2000,131,0.267704440579515,0.11427900469352,0.0615978896906747,0.623078533386942
HKUST,ID_SQ Apartment37-48,2000,132,0.159872640722706,0.0648375015604822,0.0523978453125403,0.360351842177267
HKUST,ID_SQ Block P,2000,115,0.453979842600408,0.184536501104341,0.0594096254689425,1.13502048867166
HKUST,ID_SQ Block R,2000,104,0.477859506100116,0.197846996197369,0.060393598724665,1.29143577818304
HKUST,ID_SQ Block S,2000,137,0.388067065033932,0.165798003078769,0.0568083694631482,0.880174896104608
HKUST,ID_SQ1,2000,128,0.435227660431884,0.180379994084613,0.0631588555278199,1.07160287680042
HKUST,ID_SQ2,2000,109,0.41093426579361,0.167812499544937,0.0599379038790314,0.985253735678861
HKUST,ID_SQ3,2000,117,0.411795502954645,0.18478200471257,0.0571664259977069,0.765242679873774
HKUST,ID_SQ4,2000,110,0.485108090290306,0.203953996626564,0.0649495379849735,1.12547367189098
HKUST,ID_SQ567,2000,115,0.562355606727369,0.24447800874709,0.0571203526340475,1.31493757877323
HKUST,ID_Shaw Auditorium,2000,121,1.05592628410535,0.45395100583084,0.0639342716636898,1.66990735128646
HKUST,ID_UG Hall2 2F,2000,121,0.164282461408686,0.0650634982824951,0.0403959535850152,0.367714446771782
HKUST,ID_UG Hall2 RF,2000,146,0.0952818801615828,0.0398870014800892,0.045720669435546,0.187466950189747
HKUST,ID_UG Hall3,2000,123,0.370197460570719,0.150673497751602,0.067025235878532,0.714698559255255
HKUST,ID_UG Hall4,2000,103,0.356855009871762,0.156387994538688,0.0556858141700366,0.817269889601923
HKUST,ID_UG Hall6,2000,101,0.379267096945517,0.154727005232362,0.0619515000775763,0.887797897032335
HKUST,ID_UG Hall7,2000,122,0.325702561836568,0.130835999924319,0.0525164926358024,0.816318071975586
HKUST,ID_UG Hall8,2000,124,0.30206894750611,0.133280003655878,0.0573899132970143,0.610297496245973
HKUST,ID_UG Hall9,2000,110,0.367788091875364,0.149593993704123,0.0644450860581736,0.93215404608349
HKUST,ID_Wong Check She Research Centre,2000,121,1.40718706365597,0.618658996211978,0.0589626792979206,2.67117923316911
HKUST,ID_Zone A1,2000,132,0.384689131719166,0.160504501327792,0.0514599171860933,0.786640258508037
HKUST,ID_Zone A2,2000,123,2.63950466648402,1.17856999033093,0.0575887581490297,5.30611505971171
HKUST,ID_Zone A4,2000,114,0.664728134947964,0.287602999476802,0.0524771567503607,1.60024980646704
HKUST,ID_Zone A5,2000,117,0.216976799678233,0.0958740043681559,0.0536674066799595,0.332406162448788
HKUST,ID_Zone A6,2000,105,0.782194394720425,0.335191505920036,0.0616532180804652,1.49987152004167
HKUST,ID_Zone A7,2000,106,0.137023095487629,0.0581580029571162,0.051648356380864,0.270258713615554
HKUST,ID_Zone D,2000,120,1.14910002907162,0.47983201524668,0.0630871869333906,2.59522399359283
HKUST,ID_Zone J1,2000,122,0.314042248376936,0.138349000291109,0.0589891389784963,0.566234515227074
HKUST,ID_Zone J2,2000,133,0.428232058482728,0.1918419924581,0.0388166146576724,0.941221809701123
HKUST,ID_Zone L2,2000,121,0.130923632986603,0.0558389999447486,0.0660563236264261,0.215938540840552
Ausgrid,ID_1,2000,605,0.62264189731913,0.391646990068854,0.189023046224704,0.777384395717075
Ausgrid,ID_10,2000,528,0.269405902526981,0.130718998361641,0.0833813283919514,0.322376234252974
Ausgrid,ID_100,2000,258,0.452826906682943,0.208138998464644,0.0765057645976686,0.763885150296442
Ausgrid,ID_101,2000,207,0.308690253834681,0.139767000318095,0.0966157614633538,0.646066068878346
Ausgrid,ID_102,2000,259,0.410027492411064,0.24175500603432,0.117852097630047,0.783490341347265
Ausgrid,ID_103,2000,271,0.355467338905244,0.179161007296447,0.0792746036073101,0.658045286629101
Ausgrid,ID_104,2000,266,0.977384344125632,0.460657020181672,0.12183798379632,1.9450638604589
